uid,assembly_acc,assembly_name,organism,ftp_path,biosample,bioproject,assembly_level,submitter
80383658,GCF_977011295.1,K37S9001,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/295/GCF_977011295.1_K37S9001,SAMEA120393842,,,the seqafrica consortium
80385878,GCF_977011515.1,K22F0002,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/011/515/GCF_977011515.1_K22F0002,SAMEA120393826,,,the seqafrica consortium
17920071,GCA_030572595.1,ASM3057259v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419372,,,Ministry of Health
75500288,GCF_051294575.1,ASM5129457v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/294/575/GCF_051294575.1_ASM5129457v1,SAMN48739293,,,Texas A&M University
69716108,GCF_047302495.1,ASM4730249v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/302/495/GCF_047302495.1_ASM4730249v1,SAMN41592674,,,Korea National Institute of Health
55913768,GCF_037942495.1,ASM3794249v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/942/495/GCF_037942495.1_ASM3794249v1,SAMN40504538,,,Nottingham Trent University
60373628,GCF_040735115.1,IP37446,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/735/115/GCF_040735115.1_IP37446,SAMN37563202,,,Khon Kaen University
18209651,GCF_030866965.1,ASM3086696v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/866/965/GCF_030866965.1_ASM3086696v1,SAMN36998974,,,National Institute for Communicable Disease Control and Prevention
64845468,GCF_044324775.1,ASM4432477v1,Mycobacterium tuberculosis str. Erdman = ATCC 35801 (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/324/775/GCF_044324775.1_ASM4432477v1,SAMN43777470,,,Harvard Medical School
55825108,GCF_963993205.1,ASM_P006-N1591,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/993/205/GCF_963993205.1_ASM_P006-N1591,SAMEA115401564,,,Swiss Tropical and Public Health Institute
17922041,GCA_030575835.1,ASM3057583v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),,SAMN36419355,,,Ministry of Health
